"","Accuracy","Kappa","Brier_score","Model","FS"
"acrg_models8.8",0.706896551724138,0.588137009189641,0.412915974700043,"NNET Elastic Net","Elastic Net"
"acrg_models8.9",0.741379310344828,0.642857142857143,0.326202440381694,"NNET Elastic Net","Elastic Net"
"acrg_models8.10",0.724137931034483,0.615894039735099,0.416263309580091,"NNET Elastic Net","Elastic Net"
"acrg_models9.1",0.913793103448276,0.879966887417219,0.162452467485485,"Full GBM","Full"
"acrg_models9.2",0.879310344827586,0.833878887070376,0.226017410497435,"Full GBM","Full"
"acrg_models9.3",0.844827586206897,0.783582089552239,0.243306505683618,"Full GBM","Full"
"acrg_models9.4",0.896551724137931,0.857610474631751,0.169640500352779,"Full GBM","Full"
"acrg_models9.5",0.827586206896552,0.761709120788825,0.306772738256032,"Full GBM","Full"
"acrg_models9.6",0.862068965517241,0.807787903893952,0.24605242188704,"Full GBM","Full"
"acrg_models9.7",0.810344827586207,0.735269709543568,0.320078290833584,"Full GBM","Full"
"acrg_models9.8",0.793103448275862,0.71072319201995,0.347965704038889,"Full GBM","Full"
"acrg_models9.9",0.775862068965517,0.686356073211314,0.314148420894621,"Full GBM","Full"
"acrg_models9.10",0.896551724137931,0.857025472473295,0.190650314702378,"Full GBM","Full"
